Name,Field(s),Dat,Notes
Cecilia Bouzat,"Neuroscientist, Biologist, Chemist",1961,biochemist studying neurological disorders
Maria G. Castro,,2000,"Professor of Neurosurgery, University of Michigan Medical School"
Lyn Beazley,,1944,British-born Australian neuroscientist and educator
Leeanne Carey,,1959,neuroscientist in occupational therapy and stroke rehabilitation and recovery research
Adrienne Fairhall,,2000,computational neuroscientist and educator
Una Lucy Fielding,,1888-1969,neuroanatomist remembered for discovering the vascular link between the hypothalamus and the pituitary gland
Mary Galea,,1951,physiotherapist and neuroscientist at the University of Melbourne
Glenda Halliday,,2008,"neuroscientist at the University of Sydney, NHMRC research fellow"
Muireann Irish,,2013,cognitive neuropsychologist at the University of Sydney
Jee Hyun Kim,,2004,behavioral neuroscientist focusing on emotional learning and memory during childhood
Natalie Matosin,,2012,scientist researching the impacts of stress and its role in mental illness
Elspeth McLachlan,,1942,world authority on neural pathways within the autonomic nervous system
Pat Michie,"Neuroscientist, psychologist ",2009,emeritus professor of psychology at Australia's University of Newcastle
Kathryn North,,1994,"paediatric physician, neurologist, and clinical geneticist working on cognitive deficits in neurofibromatosis type 1 and intervention strategies for children with learning disabilities and inherited myopathies"
Jennie Ponsford,,2000,"neuroscientist researching the negative consequences of traumatic brain injury related to fatigue, sleep disturbance, attentional problems, mood and behavioural disturbances"
Sandra Rees,,1942,research into the pathogenesis of brain injury
Linda Richards,,,currently researching development of the cortical midline
Nicole Rinehart,,2000,"focus on autism, Asperger's disorder and ADHD"
Lesley Joy Rogers,,1943,emeritus professor of neuroscience at Australia's University of New England
Renae Ryan,,2000,"neuroscientists and pharmacologist promoting gender equity, diversity and inclusion"
Ingrid Scheffer,,1958,paediatric neurologist and senior research fellow focusing on epilepsy
Alexandra Adler,,1901-2001,neurologist remembered for her work on the brain of a multiple sclerosis victim and for her research on posttraumatic stress disorder
Elisabeth Binder,,2000,neuroscientist specializing in the study of mood and anxiety disorders
Melly Oitzl,,1955,"behavioral neuroscientist focusing on relationships between stress, cognition and emotion"
Suzana Herculano-Houzel,,1972,focus on neuroanatomy
Anna Christina Nobre,,1963,UK-based Brazilian neuroscientist researching neural systems supporting cognitive functions in the human brain
Rosemary Bagot,,1981,researching the mechanisms of altered brain function in depression
Frances Champagne,,2007,"focus on molecular neuroscience, maternal behavior, and epigenetics"
Sherry Chou,,2014,neuroscientist focusing on neurocritical care
Anne Churchland,,2014,neuroscientist focusing on the function of the posterior parietal cortex in cognitive processes
Meaghan Creed,,2016,research into neuromodulation
Karen Davis,,1990,"focusing on the mechanisms underlying acute and chronic pain and temperature perception, the influence of attention, and plasticity"
Allison J. Doupe,"Neuroscientist, psychiatrist, biologist",1954-2014,"psychiatrist, biologist, and neuroscientist focusing on avian neurobiology and communication"
Lillian Dyck,,1945,"Saskatchewan senator, formerly a neuroscientist and dean at the University of Saskatchewan"
Gillian Einstein,,1952,American-born Canadian neuroscientist focusing on the anatomy of the female brain
Alison Fleming,,2004,neuroscientist working on mothering instincts and maternal behaviour
Ariel Garten,,1979,clothing designer and scientist exploring the intersection of art and neuroscience
Isabel Gauthier,,1971,cognitive neuroscientist and journal editor
Mireille Gillings,,1971,US-based Canadian neurobiologist and entrepreneur
Rachel Sarah Herz,"Neuroscientist, psychologist ",1992,psychologist and cognitive neuroscientist focusing on the psychology of smell
Judy Illes,,1960,professor of neurology focusing on neuroethics
Sheena Josselyn,,2018,neuroscientist studying the neural basis of memory at the University of Toronto
Ingrid Johnsrude,,1997,"neuroscientist and professor focusing on brain structure and language ability, and degenerative brain diseases in the elderly"
Sheena Josselyn,,1990,neuroscientist studying the neural basis of memory
Sandi Lam,,2010,neurosurgeon studying novel uses of neuroendoscopy in minimally invasive epilepsy surgery
Daphne Maurer,"Neuroscientist, psychologist ",1980,"experimental psychologist focusing on child development, vision and synaesthesia"
Brenda Milner,,1918,British-Canadian neuroscientist focusing on clinical neuropsychology
Kathryn Mary Murphy,,1990,neuroscientists studying the development and plasticity of the brain
Cecilia Moens,,1994,research into development of hindbrain neurons
Lorina Naci,"Neuroscientist, psychologist ",2010,Albanian-born Canadian psychologist and neuroscientist known for developing a method for communicating with patients in a persistent vegetative state
Caroline Palmer,,1990,research into behavioural and neural foundations
Isabelle Peretz,"Neuroscientist, psychologist ",1956,professor of psychology specializing in music cognition
Maria Natasha Rajah,,2007,"cognitive neuroscientist working on episodic memory, ageing and dementia"
Jane Roskams,,1990,Isle of Man-born Canadian neuroscientist interested in Brain Big Data and Open Data sharing
Deboleena Roy,,2008,neuroscientist focusing on reproductive neuroendocrinology and molecular biology
Jane Rylett,,1994,molecular neurobiologist
Lisa Saksida,,2000,touchscreen-based cognitive assessment
Rebecca Saxe,,2008,professor of cognitive neuroscience at MIT
Justine Sergent,,1950-1994,Lebanese-born Canadian neuroscience researcher specializing in the functional neuroanatomy of face processing
Bernice Shanet,,1929,neurophysiologist specializing in neuroregeneration research
Rae Silver,,1997,neuroendocrinologist and neuroscientist researcing the suprachiasmatic nucleus of the hypothalamus
Debra W. Soh,"Neuroscientist, psychologist ",1990,"science columnist, sex researcher and psychologist"
Bojana Stefanovic,,2005,neuroscientist researching functional brain neuroimaging
Jane Stewart,"Neuroscientist, psychologist, psychiatry, pharmacologist",1980,"neuroscientist active in psychology, psychiatry, and psychopharmacology"
Indre Viskontas,,2000,Lithuanian-Canadian cognitive neuroscientist and operatic soprano
Anna Weinberg,"Neuroscientist, psychologist ",2014,"psychologist, Canada Research Chair in Clinical Neuroscience, McGill University"
Catharine Winstanley,,2004,British-born Canadian behavioural neuroscientist
Sandra Witelson,,1999,neuroscientist best known for her analysis of specimens from Albert Einstein's brain
Yang Dan,,1994,Chinese-born scientist based in the US specializing in neural circuits controlling sleep and the function of the prefrontal cortex
Fan Wang,,1998,"research at MIT on neural circuits underlying touch, pain and anesthesia"
Li Gan,,1996,researching mechanisms of microglia dysfunction in neurodegeneration
Nancy Ip,,1955,Hong Kong neuroscientist
Lily Jan,,1947,neuroscientist investigating the neuromuscular junction in Drosophila fly larvae
Li-Huei Tsai,,1990,Taiwanese neuroscientist based in the US known for her work on neurological disorders that affect learning and memory
Dayu Lin,,2000,Chinese neuroscientist based in the U.S. studying neural circuits underlying aggression in rodents.
Hailan Hu,"Neuroscientist, psychologist ",2000,explores neural mechanisms underlying social behaviors and psychiatric diseases
Guo-li Ming,,2002,researching stem cells to model genetic and environmental risk for brain disorders
Hongkui Zeng,,2011,headed team creating the Allen Mouse Connectivity Atlas
Li Zhaoping,,1964,computational neuroscientist and vision scientist known for the V1 Saliency Hypothesis.
Marta Zlatic,,1977,"neuroscientist, group leader of the MRC Laboratory of Molecular Biology, Cambridge, UK"
Panayiota Poirazi,,1974,"neuroscientist known for modelling dendritic computations, member of the European Molecular Biology Organization"
Eva Syková,,1944,neuroscientist researching ionic and volume homeostasis
Gudrun Boysen,,1939,neurologist researching the causes and effects of strokes
Gitte Moos Knudsen,,1959,translational neurobiologist and clinical neurologist
Maiken Nedergaard,,1980,neuroscientist known for discovering the glymphatic system
Milena Penkowa,,1973,neuroscientist guilty of scientific misconduct
Riitta Hari,,2011,"Finnish neuroscientist,at the Science Forum 2011 in Helsinki.,"
Riitta Hari,,1948,neuroscientist known for her work on the understanding of healthy and diseased human cortex development
Miia Kivipelto,,1973,neuroscientist researching dementia and Alzheimer's disease
Denise Albe-Fessard,,1916-2003,neuroscientist known for her research into the central nervous system pain pathways
Angélique Arvanitaki,,1901-1983,neuroscientist known for her research into the electrical activity of neurons
Aurore Avarguès-Weber,,1983,cognitive neuroscientist researching the behaviour of bees
Anne Beaumanoir,,1923,neurophysiologist and resistance worker who headed the neurophysiology department of the University Hospital of Geneva
Cécile Charrier,,1983,"neuroscientist researcher, recipient of the 2021 Irène Joliot-Curie “Young Female Scientist of the Year” award."
Augusta Déjerine-Klumpke,,1859-1927,American-born French neuroanatomist known for co-authoring the two-volume book on the anatomy of nerve centers Anatomie des Centres Nerveux
Brigitte Kieffer,,1958,molecular neurobiologist known for researching opiate receptors
Laurence Lanfumey,,1954,neuroscientist specializing in preclinical research on neuroscience and molecular neuropsychopharmacology
Marcelle Lapicque,,1873-1960,neurophysiologist known for her research on nerve impulses and the effects of poisons
Gabrielle Charlotte Lévy,,1886-1934,neurologist for whose work the Roussy-Lévy syndrome and the Lhermitte-Lévy syndrome are named
Isabelle Mansuy,,1965,"professor of neuroepigenetics at the University of Zurich, Switzerland"
Christine Petit,,1948,geneticist known for pioneering work on the genetics of hearing and deafness
Catherine Vidal,,1951,is a neuroscientist specialized on difference between male and female brain
Cécile Vogt-Mugnier,,1875-1962,neurologist known for extensive cytoarchitectonic studies on the brain
Claire Wyart,"Neuroscientist, Biologist, Physicist",1977,"biophysicist and neuroscientist studying the circuits underlying the control of locomotion, and chevalier of the Ordre National du Mérite."
Katrin Amunts,,1962,neuroscientist known for brain mapping
Laura Busse,,1977,researching neural circuits underlying visual processing at the University of Munich
Angela D. Friederici,,1952,expert in neuropsychology and linguistics
Nadine Gogolla,,2000,neuroscientist known for decoding facial expressions in mice as emotion-like and correlating this to neural activity
Magdalena Götz,,1962,neuroscientist noted for her study of glial cells
Sonja Hofer,,1977,professor at the Sainsbury Wellcome Centre for Neural Circuits and Behaviour
Kerstin Krieglstein,,2018,"researching molecular neurobiology, neuronal survival and ontogenetic cell death"
Eva-Maria Mandelkow,,1970,neuroscientist and Alzheimer's Disease researcher
Petra Ritter,,1974,neuroscientist applying computational neuroscience to brain simulations
Anne Schaefer,,2009,developed the TRAP technique to reveal transcriptional profiles
Constance Scharff,,1959,zoologist and neuroethologist researching birdsong and neurogenesis
Sigrid Schmitz,,1961,neuroscientist researching gender and science technology with a focus on brain sciences and contemporary neurocultures
Tania Singer,"Neuroscientist, psychologist ",1969,psychologist and social neuroscientist
Marthe Vogt,,1903-2003,remembered for her important contributions to the understanding of the role of neurotransmitters in the brain
Sophia Frangou,,1990,US-based neuroscientist researching the pathophysiological processes underlying psychosis
Nancy Papalopulu,,1990,UK-based neuroscientist researching how the timing of neurogenesis is regulated during vertebrate development
Elizabeth Roboz Einstein,"Neuroscientist, Biologist, Chemist",1904-1995,biochemist and neuroscientist known for purifying and characterizing myelin basic protein
T. S. Kanaka,,1932-2018,Asia's first female neurosurgeon
Sandhya Koushika,,2000,neuroscientist focusing on regulation of axonal transport within nerve cells
Vijayalakshmi Ravindranath,,1953,neuroscientist focused on the study of brain related disorders
Deblina Sarkar,,2018,nanoscale biosensors at MIT
M. V. Padma Srivastava,,1965,"neurologist, medical academic and writer known for the Acute Stroke Programme"
Shubha Tole,,1967,neuroscientist investigating the development and evolution of the mammalian brain
Vidita Vaidya,,2000,neuroscientist researching molecular psychiatry and the neurocircuitry of emotion
Shashi Wadhwa,,1948,known for anatomy and developmental neuroscience
Sabina Brennan,,2011,"neuroscientist at Trinity College Dublin, ""Hello Brain"" project"
Eleanor Maguire,,1970,researching episodic memory in the context of wider cognition
Mary Reilly,,2000,neurologist studying peripheral neuropathy
Tamar Flash,,1987,professor at Weizmann Institute of Science
Kalanit Grill-Spector,,,is a neuroscientist professor investigating the visual system at Stanford University
Daphna Joel,,1967,behavioural neuroscientist at Tel Aviv University
Nilli Lavi,"Neuroscientist, psychologist ",,is a psychologist and neuroscience professor at University College London
Yael Niv,,2012,neuroscientist studying animal reinforcement learning at Princeton University
Michal Rivlin,,,is a neuroscientist investigating the retina at the Weizmann Institute of Science
Asya Rolls,,2000,is an Israeli psychoneuroimmunologist exploring how the nervous system affects immune responses and thus physical health
Daniela Schiller,,1972,known for work on memory reconsolidation
Michal Schwartz,,,is a professor of neuroimmunology at the Weizmann Institute of Science
Tali Sharot,,,is a cognitive neuroscientist at University College London
Hamutal Slovin,,1967,neuroscientist studying the visual system using optical imaging
Hermona Soreq,,1947,known for the signaling of acetylcholine and its relevance in stress responses and neurodegenerative diseases
Arianna Di Stadio,,1975,neuroscientist and researcher
Cristina Alberini,,1990,neuroscientist studying the biological mechanisms of long-term memory
Paola Arlotta,,1971,professor of stem cell and regenerative biology at Harvard University
Camilla Bellone,,1975,is an Italian neuroscientist exploring the molecular mechanisms and neural circuits underlying social behavior and probes how defects at the molecular and circuit level give rise to psychiatric disease states
Raffaella Bosurgi,,2010,neuroscientist and executive editor of PLOS Medicine
Valeria Gazzola,,1977,"neuroscientist at the University of Amsterdam, studying the neural basis of empathy and embodied cognition"
Maria Luisa Gorno-Tempini,,2001,"neuroscientist focusing on behavioral neurology, particularly the neural substrate of language and memory"
Giordana Grossi,"Neuroscientist, psychologist ",2007,"cognitive neuroscientist and professor of psychology at SUNY New Paltz, New York"
Rita Levi-Montalcini,,1909-2012,Nobel laureate for her work in neurobiology
Raffaella Rumiati,,2003,cognitive neuroscientist
Maria Grazia Spillantini,,1987,researching the mechanisms leading to neurodegeneration
Noriko Osumi,,1980,specializing in neuroembryology and developmental neuroscience to reveal the scheme of human mind in terms of brain development
Alexandra Elbakyan,,1988,known for creating the Sci-Hub
Huda Zoghbi,,1954,Lebanese-American geneticist known for research in the Rett syndrome and spinocerebellar ataxia type 1
Urtė Neniškytė,,1983,researching the interaction of neurons and immune cells in the brain
Christiane Linster,,1962,Systems and Computational Neuroscience
Mónica Andrea López Hidalgo,,,"researching astrocytes,cognitive function,and age-related changes"
Beatrice de Gelder,,1944,cognitive neuroscientist and neuropsychologist at Tilburg University
Astrid Linthorst,,1990,neuroscientist specializing in the neurochemistry and neuroendocrinology of stress and behavior
Sabine Spijker,,1990,neuroscientist researching the effect of neuropsychiatric ailments on cognition
Eveline Crone,,1975,"professor of cognitive neuroscience and developmental psychology, known for her work on the function of risky behaviours in pubertal adolescents"
Marianne Fillenz,,1924-2012,Romanian-born New Zealand neuroscientist known for research on he physiology of the autonomic nervous system
Kate Jeffery,,1962,professor of behavioural neuroscience at University College London
Jenny Morton,,1991,neurobiologist specializing in neurodegenerative diseases
Siri Leknes,,2008,neuroscientist known for directing he Leknes Affective Brain Lab
May-Britt Moser,"Neuroscientist, psychologist ",1963,"psychologist, neuroscientist and Nobel laureate known for work on grid cells"
Kristine Beate Walhovd,"Neuroscientist, psychologist ",1976,psychologist and neuroscientist researching lifespan changes in brain and cognition
Aafia Siddiqui,,1972,neuroscientist convicted of seven counts of attempted murder and assault of US personnel
Nathalie Zand of Poland,,,
Łucja Frey,,1889-1942,"neurologist known for describing the auriculotemporal nerve syndrome, now widely known as ""Frey's syndrome"""
Małgorzata Kossut,,1950,neuroscientist specializing in neuroplasticity and neural mechanisms of learning and memory
Liliana Lubińska,,1904-1990,neuroscientist known for her research on the peripheral nervous system and her discovery of bidirectional axoplasmic transport
Irena Nalepa,"Neuroscientist, Biology, Chemist, pharmocologist",1951,"neuroscientist, pharmacologist and biochemist"
Nathalie Zand,,1884-1942,"neurologist known for studying the choroid plexus and publishing Les plexus choroïdes: Anatomie, physiologie, pathologie"
Megan Carey,,2005,neuroscientist and leader of the Neural Circuits and Behavior Laboratory at the Champalimaud Centre for the Unknown in Lisbon
Hanna Damasio,,1960,"neuroscientist using brain imaging methods, such as computerized tomography and nuclear magnetic resonance for investigating brain diseases"
Susana Lima,,2005,researching neural mechanisms of sexual behavior and male choice
Paula Isabel da Silva Moreira,,1975,neuroscientist known for discoveries concerning mitochondrial oxidation in Alzheimer's disease
Viviana Gradinaru,,1981,Romanian-American professor of neuroscience at the California Institute of Technology
Marianne Fillenz,,1924-2012,known for investigating the physiology of the autonomic nervous system
Ruxandra Sireteanu,"Neuroscientist, Biologist, Physicist",1945-2008,biophysicist and neuroscientist who researched the human visual system
Natalia Bekhtereva,,1924-2008,neuroscientist and psychologist known for developing neurophysiological approaches to psychology
Serafima Bryusova,,1894-1958,"first female neurosurgeon, studied brain angiography and Circle of Willis"
Svetlana Dambinova,,1949,neuroscientists known for her research on glutamate receptors
Angelina Guskova,,1924-2015,"neurologist, neurosurgeon and radiation protection expert"
Ol'ga Leonova,,1890-1910,embryologist and physician known for work on congenital disorders and the connection between central nervous system damage and eye disease
Taisiya Sergeevna Osintseva,,1923-2008,neurologist interested in chronic feral nidal infections of the nervous system
Tatiana Rosenthal,"Neuroscientist, psychologist ",1885-1921,"psychoanalyst, physician and specialist in neurology"
Olga Vinogradova,,1929-2001,cognitive neuroscientist
Claire Karekezi,,1982,neurosurgeon at the Rwanda Military Hospital in Kigali
Dragana Rogulja,"Neuroscientist, Bioiogist",2015,neuroscientist and circadian biologist at the Harvard Medical School Blacatnik Institute of Neurobiology
Frances Ames,,1920-2002,"neurologist, psychiatrist, and human rights activist who studied the effects of cannabis on the brain"
Gloria Choi,,2000-,neuroscientist studying maternal immune activation models of autism spectrum disorder
María Domínguez Castellano,,1965,"neuroscientist, director of Developmental Neurobiology at the Institute of Neurosciences, Alicante"
Susana Martinez-Conde,,1969,neuroscientist and science writer investigating how our brains create perceptual and cognitive illusions
Carmen Sandi,,1980,research into the neurobiological mechanisms of how stress alters the brain
Annica Dahlström,,1941,neuroscientist with a research focus on how nerve cells store and transport signals
Isabelle Dussauge,,2010,cognitive neuroscientist who co.founded the NeuroGenderings Networl
Mouna Esmaeilzadeh,,1980,Iranian-Swedish neuroscientist and entrepreneur known for her longevity clinic using genetic analyses as part of advanced health check-ups on her patients
Pam Fredman,,1950,"neuroscientist, president of the International Association of Universities"
Ivanka Savic,,1953,Serbian-Swedish neuroscientist at the Karolinska Institute known for neurophysiology and neuroimaging research
Silvia Arber,,1968,neurobiologist investigating the mechanisms involved in the function and assembly of neuronal circuits controlling motor behaviour
Aude Billard,,1971,physicist and computational neuroscientist creating machine learning algorithms to develop models of machine learning in humans
Jocelyne Bloch,,2002,neuroscientist investigating deep brain stimulation and brain repair for movement disorders
Victoria Chan-Palay,,1945,"Singaporean-born Swiss neuroscientist, founder of the journal Dementia and Geriatric Cognitive Disorders"
Anelis Kaiser,,2008,neuroscientist exploring the influence of heteronormative notions of sexual orientation
Melanie Greter,,2000,neuroimmunologist studying the ontogeny of microglia and border-associated macrophages
Sophie Schwartz,,1965,professor at the University of Geneva studying neural mechanisms underpinning experience-dependent changes in the human brain
Denise Hsien Wu,,2007,"professor of neuroscience, chair of the Institute of Cognitive Neuroscience, National Central University"
Michelle Antoine,,2020,neuroscientist researching the notion of excitatory-inhibitory balance and its role in autism
Cagla Eroglu,"Neuroscientist, Bioiogist",2010,neuroscientist and associate professor of cell biology and neurobiology at Duke University
Nilay Yapici,,2000,is a neuroscientist at Cornell University who studies the neural circuits underlying decision making and feeding behavior in fruit fly models to pave the way towards an understanding of how to target and treat obesity and eating disorders in patients
Juliet Sekabunga Nalwanga,,2018,Uganda's first female neurosurgeon
Ingrid Allen,,1932-2020,known for research into neurodegradation
Sarah-Jayne Blakemore,,1974,research into the perception of causality in the human brain
Gemma Calvert,,1990,researching multisensory brain systems and how the power of the subconscious brain affects marketing
Helen Cassaday,,1990,neuroscientist investigating the underlying biology of associative learning processes
Nicola Clayton,"Neuroscientist, psychologist ",1962,psychologist specializing in comparative cognition
Hannah Critchlow,,1980,neuroscientist with a research focus on cellular and molecular neuroscience
Iroise Dumontheil,,2015,neuroscientist with a research focus on the social cognition and executive functions associated with the rostral prefrontal cortex
Wendy Ewart,,2000,responsible for the development of the Medical Research Council's strategic plan
Elizabeth Fisher,,1980,professor at University College London investigating degeneration of motor neurons triggered by Down syndrome
Maria Fitzgerald,,1953,neuroscientist studying the developmental physiology and neurobiology of nociceptor circuits in the brain and spinal cord
Sarah Garfinkel,,2006,neuroscientist studying the link between interoception and the brain
Sonia Gandhi,,2000,"Francis Crick Institute neurodegeneration laboratory, investigating molecular mechanisms behind Parkinson's disease"
Alison Goate,,1980,known for studying the genetics of Alzheimer's disease and related dementias
Usha Goswami,,1960,"neuroscientist investigating the neural basis of developmental dyslexia, of speech and language impairments, and of rhythmic motor behaviour"
Susan Greenfield,,1950,"scientist, writer and broadcaster with a research focus on he treatment of Parkinson's and Alzheimer's diseases"
Francesca Happé,,1967,cognitive neuroscientist investigating autism spectrum conditions
Julie M. Harris,"Neuroscientist, psychologist ",1967,"psychologist who studies binocular vision, vision and animal patterning"
Jane Hayley,,2012,"electrophysiologist, neuroscience scientific coordinator at the University of Edinburgh"
Christine Holt,,1954,developmental neuroscientist investigating the basic mechanisms of the vertebrate brain
Heidi Johansen-Berg,,1974,"professor of cognitive neuroscience at the University of Oxford, studying brain plasticity in regard to stroke rehabilitation and ageing"
Eve Johnstone,"Neuroscientist, psychiatrist",1944,"Scottish physician, clinical researcher, psychiatrist and academic investigating schizophrenia and psychotic illness"
Annette Karmiloff-Smith,,1938-2016,cognitive neuroscientist known for research into Williams syndrome
Tara Keck,,2000,neuroscientist investigating synaptic and homeostatic plasticity in the neocortex
Diane Lipscombe,,1960,"professor of neuroscience at the Robert J. and Nancy D. Carney Institute for Brain Science, Brown University"
Jennifer S. Lund,,1940,anatomist focused on he organization of feedforward and feedback circuits in the neocortex
Giovanna Mallucci,,2000,neuroscientist specializing in neurodegenerative diseases
Ruth McKernan,,1980,neuroscientist known for her work on ligand-gated ion channels as well as for services to business and innovation
Katharine Montagu,,1966,first to identify dopamine in the human brain
Freda Newcombe,,1925-2001,clinical neuropsychologist playing a pivotal role in the development of cognitive neuropsychology
Esther Odekunle,,2010,neurobiologist and antibody engineer researching risks from antibodies
Karalyn Patterson,,1943,specialist in cognitive neuropsychology
Marysia Placzek,,2012,professor of developmental neurobiology at the University of Sheffield
Cathy Price,,1990,professor of cognitive neuroscience at University College London
Gina Rippon,,1950,"research involving the application of brain imaging techniques, particularly electroencephalography and magnetoencephalography"
Katya Rubia,,1994,neuroscientist best known for her work in child cognitive neuroscience and neuropsychiatry
Barbara Sahakian,,2000,"known for her contributions to psychopharmacology, neuroethics, neuropsychology, neuropsychiatry and neuroimaging"
Sophie Scott,,1966,"neuroscientist investigating the cognitive neuroscience of voices, speech and laughter"
Aditi Shankardass,,2009,clinical work using electroencephalogram recordings of the brain to diagnose developmental disorders in children
Rebeccah Slater,,2010,professor of paediatric neuroscience at the University of Oxford
Maria Grazia Spillantini,,1980,neuroscientist noted for identifying the protein alpha-synuclein as the major component of Lewy bodies
Tara Spires-Jones,,1976,neuroscientists studying synapse degeneration and resilience in Alzheimer's and other neurodegenerative diseases
Susan Standring,,1970,"experimental neurobiologist, writer and researcher"
Karen Steel,,1990,"geneticist studying the genetics behind deafness, mainly focusing on the genetics of mice"
Sarah Tabrizi,,1965,British-Iranian neurologist and neuroscientist in the field of neurodegeneration
Kathleen Taylor,,2000,"neuroscientist with a focus on physiology, psychology and the neuroscience of belief"
Irene Tracey,,1966,research focused on the neuroscience of pain perception and analgesia
Anne Treisman,,1935-2018,"cognitive psychologist researching visual attention, object perception, and memory"
Angela Vincent,,1942,"known for research in the areas of molecular biology, biochemistry, cellular immunology and intracellular neurophysiology"
Elizabeth Warrington,,1931,neuropsychologist specialised in the study of dementia
Heather Whalley,"Neuroscientist, psychiatrist",2010,psychiatrist with a research focus on the mechanisms underlying the development of major psychiatric disorders
Barbara Wilson,"Neuroscientist, psychologist ",1941,"psychologist, founder of the Oliver Zangwill Centre for Neuropsychological Rehabilitation, Ely, Cambridgeshire"
Emma Yhnell,,2015,neuroscientists with a research focus on Huntington's disease
Carmela Abraham,,1990,neuroscientist studying Alzheimer's disease
Susan Ackerman,"Neuroscientist, Bioiogist",2000,neuroscientist and geneticist known for investigating genetic and biochemical factors behind the central nervous system
Elizabeth Adkins-Regan,,1945,comparative behavioural neuroendocrinologist known for research on the hormonal and neural mechanisms of reproductive behaviour
Huda Akil,,1945,Syrian-American neuroscientist focusing on the neurobiology of emotions
Susan Amara,,2000,neuroscientist focusing on the parts of the brain activated by the effects of addictive drugs
Julia Tutelman Apter,,1979,One of the first specialists in neurophysiological research[1]
Nancy Coover Andreasen,,1938,neuroscientist and neuropsychiatrist known for developing the concept of negative symptoms in schizophrenia
Anne M. Andrews,,1990,neuroscientist focused on the neurochemistry of the brain's serotonin system
Amy Arnsten,,1980,neuroscientist focused on the molecular mechanisms behind the higher cortical circuits governing cognition
Ream Al-Hasani,,,"British-born American neuroscientist and pharmacologist studying endogenous opioids in addiction,pain,and affective disorders"
Kristin Baldwin,,1998,neuroecientist focusing on reprogrammed and induced pluripotent stem cells to study the epigenetic changes of the genome and brain
Tracy Bale,"Neuroscientist, Bioiogist",1969,neuroscientist and molecular biologist focusing on parental prenatal stress and its effect on offspring
Cornelia Bargmann,,1962,neurobiologist known for her work on the genetic and neural circuit mechanisms of behavior using C. elegans
Carol A. Barnes,,2000,neuroscientist focusing on the neurophysiological and behavioral changes that occur in the brain during ageing
Lisa Feldman Barrett,"Neuroscientist, psychologist ",1963,"psychologist and neuroscientist studying emotion, known for How Emotions are Made: The Secret Life of the Brain"
Susan R. Barry,,1981,neurobiologist and physician known for her Fixing My Gaze: A Scientist's Journey into Seeing in Three Dimensions
Jessica Barson,,2010,neuroscientist investigating neuropeptide signalling in the paraventricular nucleus of the thalamus
Danielle Bassett,,1981,physicist and systems neuroscientist applying network science to the study of learning in the human brain
Amy Bastian,,1968,neuroscientist contributing to the neuroscience of sensorimotor control
Diana Bautista,,2000,"neuroscientist known for her work on the molecular mechanisms underlying itch, touch and pain"
Elaine Bearer,,1990,"neuroscientist, pathologist and composer, recent research on magnetic resonance imaging of neural connections and brain activity in transgenic mouse models of human disorders"
Marlene Behrmann,"Neuroscientist, psychologist ",1959,psychologist specializing in the cognitive neuroscience of visual perception
Ursula Bellugi,,1931,German-American neuroscientist researching the biological bases of language
April A. Benasich,,1980,neuroscientist known for research on the early neural processes necessary for normal cognitive and language development
